Id,Purchase
0,7032.549773651787
1,8316.25764464148
2,10357.193051326103
3,7370.035583132517
4,7158.115477947891
5,13043.339858272015
6,-42.19861263377906
7,8141.754935392748
8,11020.727764013167
9,11968.633080934447
10,7139.512331639102
11,6697.864655539494
12,15993.79547292273
13,13598.956287240566
14,7402.286969061755
15,12855.289328552295
16,5792.028560064874
17,13926.45100031136
18,9831.125977092233
19,10438.918041869589
20,5063.543498668007
21,3114.374769008432
22,1506.096859176242
23,16957.641265432703
24,4049.94424499221
25,12080.619989007559
26,12938.313633600299
27,11333.86514193938
28,11067.913314830968
29,14364.422048993054
30,5563.641439465946
31,7405.259531324618
32,5107.312309135711
33,4442.971288067511
34,13623.482014610738
35,13833.038235019005
36,13686.453651339756
37,4170.226401074811
38,7366.75989502223
39,10321.585539604412
40,10926.87362441896
41,2893.9205580809703
42,5332.6618986129015
43,14101.895702802403
44,7579.438943410041
45,7560.034209378254
46,7189.062920907097
47,8923.7163026805
48,17155.38534015493
49,14044.624477615536
50,5521.847959205401
51,12173.530963766752
52,7534.957111276697
53,17449.907493555052
54,15094.832121846921
55,12245.606360973814
56,6480.065022733407
57,11463.518667185383
58,6493.38693483638
59,8383.48822450253
60,11895.873044461943
61,6120.740870295782
62,14238.382434093684
63,2895.691072058076
64,6596.893610648754
65,5744.5638340995065
66,10077.62672366243
67,8324.192136628833
68,2120.702246749626
69,17032.869732031573
70,6894.675520668114
71,10284.969654425407
72,16618.872747455265
73,6150.621086420047
74,7476.10862997691
75,10727.979517123536
76,8897.72375028917
77,5776.500919950424
78,8673.44856454278
79,7417.974724343781
80,14020.259733392952
81,5593.543720122693
82,7655.17666049973
83,6126.790521855891
84,15341.068566844448
85,8043.326190999966
86,12495.829942934579
87,5888.10628015819
88,15752.027573989273
89,9382.58187935862
90,7184.050985824875
91,5820.165630463053
92,11557.859037521215
93,11246.970416923821
94,7489.036185267332
95,11762.84351330496
96,20186.412714066744
97,6901.678514241442
98,6823.613983261399
99,13292.924637795119
100,6572.111806011842
101,7645.783717748785
102,15982.874996636789
103,15268.19695606517
104,6072.2906219092165
105,15598.544782493922
106,6199.044338657281
107,7026.67880255527
108,5770.556558901106
109,13337.958457960784
110,7888.120164303979
111,7460.120490659615
112,6444.6906697505865
113,20490.905042330196
114,8154.987357913239
115,14162.553993207519
116,6288.416676449194
117,4434.907773396072
118,6301.068784239632
119,5758.638553543998
120,6505.600916193755
121,6647.759622907772
122,5216.525324972892
123,16054.558050260275
124,15495.071067474044
125,11955.33764738258
126,13984.879150408991
127,16100.857240218846
128,5451.4030112731525
129,6261.775295014677
130,1894.0026568072433
131,11210.366426758486
132,13580.38296011427
133,7081.796823483601
134,12464.726597010782
135,1313.3749286524323
136,13928.609389668054
137,6843.844544343788
138,17753.037895854937
139,14306.964912975056
140,10268.786136997358
141,7981.514515294281
142,3521.8994945944646
143,14250.498472457346
144,6414.006141957333
145,6221.616177582357
146,9202.89718740706
147,11834.431935615872
148,12397.15631495322
149,14093.754591858316
150,15301.509223416391
151,6894.149002518056
152,8177.940657231357
153,16319.622779597627
154,7268.6158868240045
155,4690.6236637523825
156,8611.18592367108
157,10208.921739900665
158,6912.979773611969
159,16718.266382529797
160,8009.140369364454
161,9608.89550661645
162,3242.5044263197697
163,7975.285987326642
164,986.4826860281283
165,6063.139544797145
166,5292.935395561664
167,7944.099446658032
168,17568.95449743507
169,6623.736730696587
170,6783.006565044373
171,12402.83087371522
172,7031.212149876252
173,6154.104567903126
174,6231.759449667447
175,7130.211296393396
176,6271.0867637139345
177,5809.457235654796
178,7431.443839510949
179,4946.606657809155
180,6003.222657272014
181,14848.28570036852
182,12452.551695365799
183,4247.323775392407
184,4487.812722659813
185,6269.384963853059
186,11944.797532529506
187,14094.680633481701
188,6311.733992063695
189,6586.961085166063
190,5256.631422011073
191,7483.961124888585
192,3688.214336326868
193,14780.878371724017
194,14180.11180893868
195,7390.954301587606
196,13590.169089208322
197,15358.167843728466
198,6546.1678532792885
199,12237.288993842569
200,6100.74509626751
201,14374.11069135615
202,17484.05245157018
203,14456.168941023892
204,6802.006117276376
205,6552.578797613966
206,6989.2622297648395
207,7684.146063201641
208,12298.33894293462
209,4961.0597324055125
210,7122.459819311209
211,16777.31760353483
212,8227.46222770396
213,1388.9180179349246
214,7489.138624810843
215,7568.248371748778
216,2293.1288203031086
217,13451.35945052599
218,7433.260655279522
219,4936.819431191127
220,12367.587423506
221,7731.3219072359625
222,12671.419618956677
223,6511.222272803545
224,14350.74360168649
225,5075.754681605849
226,13248.864367442913
227,2791.9437111243496
228,6707.712197926997
229,14228.837387660222
230,14356.895372519164
231,4882.169211586042
232,5954.81769023756
233,8.521987219065418
234,17190.76653972507
235,8704.790080641193
236,7444.3027560560195
237,6959.468656386091
238,6969.664596546583
239,13469.663946186218
240,6043.280093233138
241,6053.887458774912
242,13914.077211862847
243,7758.759199683793
244,6449.054640643689
245,14509.168272719871
246,5145.6603898778
247,5816.319402718209
248,14329.184553577463
249,7627.902594128611
250,7479.35888356217
251,12776.013963935193
252,7144.947567570671
253,5044.81626425368
254,7608.712927863771
255,6103.3783678617965
256,7039.0715960081425
257,7461.286900236218
258,1885.8387319985077
259,7339.772891869769
260,7096.086555401908
261,3154.7568100722974
262,6145.0472267304685
263,6370.285027085867
264,14962.797182851857
265,14471.22314465585
266,7158.236237414278
267,7323.176933779189
268,4575.580038672142
269,13893.525064569027
270,8059.671454044383
271,6039.792106538108
272,9272.751941675553
273,6998.98958495998
274,7279.122845962771
275,17823.066182794613
276,7134.703174911169
277,14062.828711427837
278,6380.578527361073
279,5889.636513190605
280,1571.9878049378874
281,7066.401737211982
